OI番号,原文,日時,ClaudeセッションID,発言種別,対応録画JSON,報告BUILD,原因,修正BUILD,修正commit,回帰テスト名,現在の判定,備考
OI-050,ゴロなのにライナー判定になるときがあります,2026-07-31T13:10:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-051,スリーベースヒットを打ったのですが、外野から中継にボールが戻ってきたときに、中継が三塁に投げればアウトにできたかもしれないのに、中継はホームに投げました,2026-07-31T13:10:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"送球先判断を改修。**「投げるべき塁に投げない」系は OI-057, OI-065, OI-070, OI-159, OI-178, OI-203, OI-220 で計8回以上再発**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-052,sを押していないのに、打ったバッターは三塁で止まらずに勝手にホームに向かってアウトになりました,2026-07-31T13:10:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,押下判定へ。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=未解決 / Ultra=所見13/所見16,文書(charter/master)への言及commit: 07513995
OI-053,打った時は右下にランナーがどこにいるのかを示す図がほしいです,2026-07-31T13:10:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,塁図を実装。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-054,sキーを一度長押しするとxキーを押しなおさない限り勝手に進塁し続けるようです,2026-07-31T13:14:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,修正。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-055,長押しに関係なく今押されているかどうかで判定して,2026-07-31T13:15:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,押下状態方式を確定。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-056,中継が本塁へ投げたのも、これが原因の可能性が高い：そもそも守備の思考が走塁の思考と独立していないのがおかしいです / 守備は守備でその場で最適な行動をとるべきです,2026-07-31T13:15:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,守備判断を走者の内部目標から切り離す方向で改修。ただし **Sol の 2026-08-01 レビューで「守備側が走者の内部目標（cmd/goal）を参照している」が再指摘されている（sol_report_pattern P5）**。**要検証・最重要**。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=未解決 / Ultra=所見14/所見16,文書(charter/master)への言及commit: 07513995
OI-057,センター前ヒットでランナーが二塁を狙ったときに、中継は2塁に投げればさせたのに1塁に投げました,2026-07-31T13:23:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,送球先判断改修。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-058,すでにランナーがいるときに打つと、ランナーは打ったバッターが次の累を狙わない限り進塁できない,2026-07-31T13:23:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,走者ごとの独立判定へ。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-059,複数ランナーがいるときは打ったバッターもランナーも帰塁ができません,2026-07-31T13:23:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"個別操作を段階的に実装（OI-088, OI-152, OI-165 で継続指摘）。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見19,文書(charter/master)への言及commit: 07513995
OI-060,ツーベースヒットを打って、二塁を回って三塁に向かったのですが、セカンドがサードに投げたらあきらかにアウトのタイミングだったのに、セカンドがボールをとった時点でスリーベース判定になり、プレーが打ち切られました,2026-07-31T13:31:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"プレー終了判定を統合。**「走者が塁間にいるのにプレーが打ち切られる」は OI-073, OI-080, OI-137, OI-144, OI-145, OI-161, OI-179, OI-186, OI-213, OI-230 で計12回以上再発＝全系統中の最多**。要検証・最重要。",b0805-01,07513995 （最新: 2026-08-05T12:39:38+09:00）,test14_走者が塁間にいる間に時間切れで打ち切らないか,Fable=解決 / Sol=未解決 / Ultra=所見16,文書(charter/master)への言及commit: 07513995
OI-061,フライアウトの時にアウトカウントが増えるのが内野にボールが戻ってきてからなのでおかしい,2026-07-31T13:38:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,即時表示へ分離。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-062,ゲッツーの時にショートが二塁を踏む前に一塁に投げたのにダブルプレーになりました,2026-07-31T13:39:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-063,どうしてあなたのチェックではこのような私が指摘している大量のミスを見つけられないのですか？,2026-07-31T13:42:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,総当たり検証ハーネス導入の直接の契機。**この問いは 2026-08-04 の OI-182「一度指摘して直したはずのミスがまた起こり始めていますがどうしてですか？」、OI-209「さっきから直したはずの問題がことごとく再発していませんか？」として計3回繰り返されている。今回の依頼（本文書）はその4回目にあたる**。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=対象外 / Sol=未解決 / Ultra=所見16,文書(charter/master)への言及commit: 07513995
OI-064,こちらの野手のミートと走力を全員maxまで上げて,2026-07-31T22:31:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実施。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-065,2アウトランナー満塁でショートゴロの時に1塁ではなく明らかに間に合わない本塁に送球する,2026-07-31T22:43:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,2死時の送球先判断を修正。**Sol 2026-08-01 レビューでも「2アウト時の送球判断」が独立に指摘されている**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-066,"ランナー1,2塁でサードゴロのとき、誰もいないサードに投げてボールがサードの上で止まり、ショートがサードに入ってボールに追いついたときにセーフの判定。ベースカバーがいないなら二塁か一塁に投げるべきだし、ショートはすぐにベースカバーに行くべき",2026-07-31T22:43:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,カバー担当の割当を改修。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-067,全体的にベースカバーができていない気がします,2026-07-31T22:43:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,8/4夜の「封殺カバーの立ち尽くし」修正が最大の対応（ゴロ安打率69%→29%）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-068,らんなーありの送球判断もまだまだ改善が必要だと思います,2026-07-31T22:45:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,継続改修中。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-069,ランナーが複数人いるときに、一人がホームインするとつっかえてしまって、二人目以降が三塁から進めない現象が起きているので修正して,2026-07-31T22:45:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-070,ワンアウト満塁でピッチャーゴロの時、あきらかに本塁に投げたら間に合い、それから1塁に投げてもゲッツーがとれそうだったのに、ピッチャーは一塁に投げました,2026-07-31T23:23:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-071,盗塁の機能を実装してほしいです。複数ランナーがいるときにも対応してほしいです,2026-07-31T23:23:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"盗塁を実装。**OI-085, OI-086（重盗・途中で戻れない）で継続**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-072,バント、ミート打ちと強振の切り替えも欲しいです,2026-07-31T23:24:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。**OI-153（バント方向指定・タイミング不要）で拡張要求**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-073,ランナーが塁間にいるときにプレイが打ち切られることがちょこちょこあるので修正して,2026-08-01T09:12:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,プレー終了層の統合。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=未解決 / Ultra=所見16,文書(charter/master)への言及commit: 07513995
OI-074,ランナーがいないときのフライは取った時点で次に進めてほしいです（返球が返ってくるまでの間が長いです）,2026-08-01T09:12:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-075,ホームランの時はホームランが確定して1秒くらいで次に進んでほしいです,2026-08-01T09:12:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-076,2アウトの時は打ち上げてもランナーは止まらずに自動スタートしてほしいです,2026-08-01T09:16:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,8/4深夜に「2死のハーフウェイ廃止」として修正（`baseOuts()<2` 条件を追加、test7）。**この指摘は 08-01 に出てから 8/4 まで残っていた＝一度実装したが効いていなかった**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-077,盗塁でアウトのタイミングだったのにセーフ判定されたので判定システムを修正して,2026-08-01T09:16:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-078,たたきつけた内野ゴロはバウンドせずに原則だけするので不自然です。バウンドしながら減速するように修正して,2026-08-01T09:16:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,8/4深夜に反発係数を 0.44→0.55 へ（第6陣）。**OI-223「ゴロが全然バウンドしている感じがない」で再発（8/4）＝この指摘は3日後に再指摘されている**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-079,ミート打ちはミートが大きくなって、ヒット性の打球を飛ばしやすくなる代わりに飛距離が出にくくなる / 強振はミートが小さくなって、ホームラン性の打球を飛ばしやすくなる（飛距離が伸び、打球が上がりやすくなる）ようにして,2026-08-01T09:18:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。**OI-125 で「ミート打ちでもHRが出る」と再指摘**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-080,走者が塁間で打ち切られる：直っていません,2026-08-01T09:33:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,継続改修。要検証・最重要。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=未解決 / Ultra=所見16,文書(charter/master)への言及commit: 07513995
OI-081,ファーストゴロの時のピッチャーの一塁カバーが遅すぎてほとんどヒットになります,2026-08-01T10:14:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,投手のカバー開始タイミングを修正。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-082,それならば投手のスピードを上げるのは不自然で、走力100の速度を落とすべきです / バントなら3.41秒はまれにいますが、ゴロなら3.5~3.6くらいでしょう,2026-08-01T10:21:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,本塁→一塁の実測合わせで `A.speed` を較正（`REBUILD_CHARTER.md` 残すべき資産）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-083,（最速で3.5~3.6。実際はブレがあるので毎回最速タイムではない）,2026-08-01T10:21:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,ばらつきを導入。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-084,1~50は遅すぎる気がします / プロ選手の実際のタイムを調べて実装して,2026-08-01T10:29:00+09:00（推定・本文ヘッダより）,UNKNOWN,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実タイム調査のうえ再較正。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-085,盗塁がsを長押ししておけば確実に成功するようになっているので、投球開始前にsを押すとランナーが飛び出すようにして,2026-08-01T10:29:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-086,"ランナー1,3塁の時は重盗を仕掛けたいことがあるのですが、今は盗塁時は盗塁するランナーしか動かせないし、途中で戻れないようになっているので、打球処理時と同じように操作できるようにしてほしいです",2026-08-01T10:29:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"継続改修。**OI-152, OI-165 で再指摘**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見19,文書(charter/master)への言及commit: 07513995
OI-087,"挟殺プレーで一度反転したとき（例えば1,2塁間で挟まれて、一塁方向に戻り、セカンドが1塁に投げた後）に毎回セカンドのベースカバーがいません。ショートやサードが挟殺プレーに加わるべきです",2026-08-01T10:36:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,挟殺の参加者を拡張。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-088,"例えばランナー2塁の時にセンター前ヒットでセカンドランナーを本塁に返したいときに、先に打ったバッターが一塁に到達していると、セカンドランナーを本塁に向かわせるために、打ったバッターが1塁を回って1,2塁間で挟まれないといけません。ランナーの個別操作もできるようにしてほしいです",2026-08-01T10:36:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,個別操作を実装（先頭走者のみ→全走者へ）。**OI-165「先頭の走者だけしか個別操作できない」で不十分と再指摘**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見7/所見12/所見19,文書(charter/master)への言及commit: 07513995
OI-089,内野ゴロや外野へのヒットなどで、毎回sキーを押さないとランナーがスタートしない（あきらかなフライやライナーじゃないときも）せいで、打ってからランナーがスタートしていないことを確認してsキーを押すので、ランナーが進塁できないケースが非常に多いです。自動スタートをもっと精度高く実装してほしいです,2026-08-01T10:36:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"自動スタートを実装。**OI-090, OI-140, OI-151 で継続・再発。今日（8/5）の新規指摘②「セカンドが打球を取った瞬間に二塁走者が勝手に戻り始めた」も同系統**。要検証・最重要。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-090,内野ゴロでも基本的にスタートしてほしいです,2026-08-01T10:43:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-091,sキーを長押ししていても、ランナーが一度塁上で少し止まる問題を修正して,2026-08-01T10:43:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,塁上での速度リセット条件を修正（8/4夜「向きが実際に変わった時だけ速度リセット」）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-092,後は肩の強さも実際のプロの送球タイムなどを見てリアルに近づけて,2026-08-01T10:44:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,内野80mph・外野88mph へ較正（`throwSpeed`）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-093,盗塁成功率も明らかにおかしいのでリアルに近づけて,2026-08-01T10:44:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,捕手ポップタイム1.55秒・リード距離を較正。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-094,送球が乱れてセーフの時に送球が実際に乱れていないためバグのように見える,2026-08-01T10:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,送球のずれを見た目にも反映（8/4に精度パラメータ「送」を新設）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-095,ショートが深い位置でボールをとって、苦しい姿勢から投げているはずなのに弾丸のような送球が飛んでくる / 姿勢と空気抵抗を加味していないのでは？,2026-08-01T10:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,走りペナルティ・姿勢係数を導入（8/4に係数を 0.028→0.004/0.016/0.012 へ再較正）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-096,キャッチャーやピッチャーの守備時の肩もよすぎる気がしました,2026-08-01T10:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-097,ファーストゴロでピッチャーがすでにベースカバーに入っているのに、ファーストが自ら塁を踏みに行ってセーフになる,2026-08-01T11:06:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
